method,mashup_id,num_positives,Recall@5,HitRate@5,NDCG@5,MAP@5,Recall@10,HitRate@10,NDCG@10,MAP@10,seed
SCF-LightGCN+BGE+Popularity,5826,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5835,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5842,3,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.14126697285982898,0.037037037037037035,0
SCF-LightGCN+BGE+Popularity,5850,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5853,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5857,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5861,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5863,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5866,2,0.5,1.0,0.2640681225725909,0.125,1.0,1.0,0.46845052016107697,0.26785714285714285,0
SCF-LightGCN+BGE+Popularity,5872,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5873,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5878,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5883,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5898,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5900,2,1.0,1.0,0.9197207891481876,0.8333333333333333,1.0,1.0,0.9197207891481876,0.8333333333333333,0
SCF-LightGCN+BGE+Popularity,5907,2,0.5,1.0,0.6131471927654584,0.5,0.5,1.0,0.6131471927654584,0.5,0
SCF-LightGCN+BGE+Popularity,5909,7,0.14285714285714285,1.0,0.3391602052736161,0.2,0.2857142857142857,1.0,0.3543334123470583,0.17142857142857143,0
SCF-LightGCN+BGE+Popularity,5913,1,1.0,1.0,0.6309297535714575,0.5,1.0,1.0,0.6309297535714575,0.5,0
SCF-LightGCN+BGE+Popularity,5916,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5918,2,0.5,1.0,0.6131471927654584,0.5,0.5,1.0,0.6131471927654584,0.5,0
SCF-LightGCN+BGE+Popularity,5919,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5921,8,0.375,1.0,0.639945385422766,0.4533333333333333,0.5,1.0,0.5570601873490943,0.3458333333333333,0
SCF-LightGCN+BGE+Popularity,5925,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5933,3,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,0
SCF-LightGCN+BGE+Popularity,5936,2,1.0,1.0,0.9197207891481876,0.8333333333333333,1.0,1.0,0.9197207891481876,0.8333333333333333,0
SCF-LightGCN+BGE+Popularity,5937,2,1.0,1.0,0.8772153153380493,0.75,1.0,1.0,0.8772153153380493,0.75,0
SCF-LightGCN+BGE+Popularity,5941,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5952,1,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0
SCF-LightGCN+BGE+Popularity,5955,7,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,0.9848330959553522,0.9478458049886621,0
SCF-LightGCN+BGE+Popularity,5958,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5960,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5964,6,0.6666666666666666,1.0,0.8687949224876582,0.8,0.6666666666666666,1.0,0.7751482523375255,0.6666666666666666,0
SCF-LightGCN+BGE+Popularity,5966,2,1.0,1.0,0.8503449055347546,0.7,1.0,1.0,0.8503449055347546,0.7,0
SCF-LightGCN+BGE+Popularity,5967,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5974,4,0.5,1.0,0.5585075862632192,0.375,0.5,1.0,0.5585075862632192,0.375,0
SCF-LightGCN+BGE+Popularity,5978,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5985,1,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0
SCF-LightGCN+BGE+Popularity,5989,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5990,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5991,2,0.5,1.0,0.2640681225725909,0.125,1.0,1.0,0.48247555939075504,0.29166666666666663,0
SCF-LightGCN+BGE+Popularity,5992,1,1.0,1.0,0.6309297535714575,0.5,1.0,1.0,0.6309297535714575,0.5,0
SCF-LightGCN+BGE+Popularity,5993,1,0.0,0.0,0.0,0.0,1.0,1.0,0.31546487678572877,0.125,0
SCF-LightGCN+BGE+Popularity,6000,1,0.0,0.0,0.0,0.0,1.0,1.0,0.3562071871080222,0.16666666666666666,0
SCF-LightGCN+BGE+Popularity,6001,2,1.0,1.0,0.9197207891481876,0.8333333333333333,1.0,1.0,0.9197207891481876,0.8333333333333333,0
SCF-LightGCN+BGE+Popularity,6002,2,0.5,1.0,0.6131471927654584,0.5,1.0,1.0,0.8065735963827293,0.625,0
SCF-LightGCN+BGE+Popularity,6005,1,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0
SCF-LightGCN+BGE+Popularity,6008,3,1.0,1.0,0.9060254355346823,0.8055555555555555,1.0,1.0,0.9060254355346823,0.8055555555555555,0
SCF-LightGCN+BGE+Popularity,6010,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6017,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6025,2,0.5,1.0,0.6131471927654584,0.5,0.5,1.0,0.6131471927654584,0.5,0
SCF-LightGCN+BGE+Popularity,6028,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6042,1,1.0,1.0,0.6309297535714575,0.5,1.0,1.0,0.6309297535714575,0.5,0
SCF-LightGCN+BGE+Popularity,6046,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6047,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6059,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6066,2,0.5,1.0,0.6131471927654584,0.5,0.5,1.0,0.6131471927654584,0.5,0
SCF-LightGCN+BGE+Popularity,6076,1,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0
SCF-LightGCN+BGE+Popularity,6083,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6087,5,0.6,1.0,0.6843515475204855,0.52,0.6,1.0,0.6843515475204855,0.52,0
SCF-LightGCN+BGE+Popularity,6088,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6089,5,0.6,1.0,0.639945385422766,0.4533333333333333,0.8,1.0,0.7529987871806381,0.5676190476190476,0
SCF-LightGCN+BGE+Popularity,6095,4,1.0,1.0,0.9558295932317544,0.8875,1.0,1.0,0.9558295932317544,0.8875,0
SCF-LightGCN+BGE+Popularity,6102,4,0.5,1.0,0.44149241373678083,0.29166666666666663,0.5,1.0,0.44149241373678083,0.29166666666666663,0
SCF-LightGCN+BGE+Popularity,6116,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6121,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,6123,3,0.6666666666666666,1.0,0.7039180890341347,0.5555555555555555,0.6666666666666666,1.0,0.7039180890341347,0.5555555555555555,0
SCF-LightGCN+BGE+Popularity,6129,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6130,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6142,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6145,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6148,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6155,2,0.5,1.0,0.6131471927654584,0.5,0.5,1.0,0.6131471927654584,0.5,0
SCF-LightGCN+BGE+Popularity,6158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,6160,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6168,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6174,1,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0
SCF-LightGCN+BGE+Popularity,6178,1,1.0,1.0,0.6309297535714575,0.5,1.0,1.0,0.6309297535714575,0.5,0
SCF-LightGCN+BGE+Popularity,6179,3,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.14126697285982898,0.037037037037037035,0
SCF-LightGCN+BGE+Popularity,6194,3,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,0.6666666666666666,1.0,0.6105456988825855,0.40740740740740744,0
SCF-LightGCN+BGE+Popularity,6205,1,0.0,0.0,0.0,0.0,1.0,1.0,0.3562071871080222,0.16666666666666666,0
SCF-LightGCN+BGE+Popularity,6218,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,6222,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,6227,2,0.0,0.0,0.0,0.0,0.5,1.0,0.19342640361727081,0.0625,0
