subset,method_a,method_b,metric,num_mashups,mean_a,mean_b,mean_difference,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,p_raw,rank_biserial,method_a_win_rate,tie_rate,p_holm,significance,ci_excludes_zero
deduplicated_no_api_mention,Inductive LightGCN,Inductive BPR-MF,NDCG@5,893,0.6401441066207296,0.6270546040308386,0.013089502589891003,0.006005252580565125,0.020238359459372694,12260.0,0.001090119086036006,0.23687404687062338,0.16349384098544234,0.7166853303471444,0.003510224658538585,**,True
deduplicated_no_api_mention,Inductive LightGCN,Inductive BPR-MF,MAP@5,893,0.593909626311642,0.5820320600555762,0.011877566256065699,0.004494807867778194,0.019373690950188708,12258.5,0.0014844286184069432,0.23091160047681786,0.1623740201567749,0.7178051511758119,0.003510224658538585,**,True
deduplicated_no_api_mention,Inductive LightGCN,Inductive BPR-MF,Recall@10,893,0.6998673578164388,0.6809219939926086,0.01894536382383033,0.008680727490506161,0.029548619675793444,6324.5,0.0008775561646346462,0.28040732734099444,0.12430011198208286,0.7905935050391937,0.003510224658538585,**,True
deduplicated_no_api_mention,Inductive LightGCN,Inductive BPR-MF,NDCG@10,893,0.655836286879523,0.6426278219998118,0.013208464879711182,0.006449604803903924,0.020279521369711312,19871.0,0.0004529796585667934,0.22620716510903427,0.20604703247480402,0.6416573348264277,0.002481569666633849,**,True
deduplicated_no_api_mention,Inductive LightGCN,Inductive BPR-MF,MAP@10,893,0.5997622634346759,0.5882545544623501,0.011507708972325746,0.004552368919620719,0.018708393166499596,20195.5,0.0009288978631983694,0.21357087227414331,0.2038073908174692,0.6416573348264277,0.003510224658538585,**,True
deduplicated_cosine_lt_099,Inductive LightGCN,Graph+BGE,Recall@5,1545,0.652699246618758,0.5742437485621411,0.07845549805661693,0.06457276346148912,0.09251187064145099,41047.5,4.4165550028869617e-29,0.530714089724242,0.2822006472491909,0.6174757281553398,4.416555002886962e-28,***,True
deduplicated_cosine_lt_099,Inductive LightGCN,Graph+BGE,NDCG@5,1545,0.6430009777400205,0.535334026262432,0.10766695147758848,0.09461913103784982,0.12069299405304641,100737.0,1.4753497283756614e-56,0.5834181078331638,0.4815533980582524,0.3637540453074434,2.213024592563492e-55,***,True
deduplicated_cosine_lt_099,Inductive LightGCN,Graph+BGE,MAP@5,1545,0.590886012225818,0.4761570178592832,0.11472899436653482,0.10160256052978546,0.12839429012345677,93003.0,3.23701989571242e-61,0.6098671074047352,0.47508090614886733,0.36828478964401296,5.502933822711113e-60,***,True
deduplicated_cosine_lt_099,Inductive LightGCN,Graph+BGE,Recall@10,1545,0.7065893426547861,0.644986067996575,0.061603274658211006,0.04780596856716493,0.0756119716648462,42744.0,1.8803161364945592e-18,0.43169398907103823,0.2459546925566343,0.6453074433656958,1.5042529091956474e-17,***,True
deduplicated_cosine_lt_099,Inductive LightGCN,Graph+BGE,NDCG@10,1545,0.6608511248738229,0.5601895564401166,0.10066156843370624,0.08859343924054,0.11285609775599514,115376.0,3.0183817803841663e-58,0.5753575155087477,0.5093851132686085,0.3255663430420712,4.829410848614666e-57,***,True
deduplicated_cosine_lt_099,Inductive LightGCN,Graph+BGE,MAP@10,1545,0.5988052002534203,0.48757639342444403,0.11122880682897635,0.09810894288135967,0.12405056783281054,109303.0,1.6759283228593975e-62,0.59693635788709,0.5055016181229773,0.3262135922330097,3.0166709811469155e-61,***,True
deduplicated_cosine_lt_099,Inductive BPR-MF,Graph+BGE,Recall@5,1545,0.6359224120425707,0.5742437485621411,0.06167866348042961,0.04777808955565521,0.07554722198397243,45108.0,2.7681882127914355e-20,0.44562632500691307,0.2563106796116505,0.6310679611650486,2.4913693915122917e-19,***,True
