subset,method,num_mashups,num_seeds,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,HitRate@5_mean,HitRate@5_std,MAP@5_mean,MAP@5_std,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std,HitRate@10_mean,HitRate@10_std,MAP@10_mean,MAP@10_std
deduplicated_cosine_lt_095,Inductive LightGCN,1521,3,0.6485669533372657,0.00038306825510670526,0.6385950747410302,0.0004533756744777205,0.8124041200964278,0.001117470855488246,0.5858879392212725,0.0006078790938910994,0.703219724568252,0.00398784812131325,0.6566739284249605,0.0012023958069612131,0.8468113083497698,0.001935516297683088,0.5938590334957855,0.0008476568258662589
deduplicated_cosine_lt_095,Graph-only,1521,3,0.3920648775967483,5.551115123125783e-17,0.3594064153895293,0.00036036299842906114,0.5410913872452334,0.0,0.31086474541602743,0.00041495130977938947,0.4819163693853832,0.004181376850584094,0.3896627048589214,0.001222114842031656,0.6423405654174886,0.0026840781753048027,0.3224588762421146,0.00047513541866111447
deduplicated_cosine_lt_095,Graph+BGE,1521,3,0.5744217491238639,0.008573711842071669,0.5353592777250108,0.029774212240009913,0.7400832785448169,0.00856104535815237,0.4762735895000853,0.035383609758370016,0.6448740795888944,0.004349954249544555,0.5600945212772249,0.026692451719350037,0.7970633355248741,0.003052462914131956,0.48761052268327393,0.03383290681723275
deduplicated_cosine_lt_099,Popularity,1545,1,0.39335319017776965,0.0,0.3605586651063801,0.0,0.5423948220064725,0.0,0.3120185185185185,0.0,0.4845386433819771,0.0,0.3918962036793123,0.0,0.6381877022653721,0.0,0.32465652700010844,0.0
deduplicated_cosine_lt_099,TF-IDF,1545,1,0.3004391256085219,0.0,0.26026596581635053,0.0,0.39676375404530745,0.0,0.22312243797195255,0.0,0.3672890887005403,0.0,0.2847992020233108,0.0,0.4815533980582524,0.0,0.23337724953339842,0.0
deduplicated_cosine_lt_099,BM25,1545,1,0.3401296553522931,0.0,0.2985989831272833,0.0,0.45307443365695793,0.0,0.25778496943545487,0.0,0.41199337641739214,0.0,0.3242207880384461,0.0,0.5385113268608415,0.0,0.2684941696203832,0.0
deduplicated_cosine_lt_099,Category-Jaccard,1545,1,0.10252034895188115,0.0,0.077297786461115,0.0,0.14951456310679612,0.0,0.06019309600862999,0.0,0.1437473180400724,0.0,0.09169619357704961,0.0,0.21229773462783172,0.0,0.06535389804969094,0.0
deduplicated_cosine_lt_099,BGE,1545,1,0.25685471898493023,0.0,0.22249216674646569,0.0,0.34433656957928804,0.0,0.19133351312477528,0.0,0.31605553973914907,0.0,0.24402443440169339,0.0,0.42200647249190937,0.0,0.2002323076659646,0.0
deduplicated_cosine_lt_099,Inductive BPR-MF,1545,3,0.6359224120425707,0.0021140996851380955,0.632475786454209,0.0014283127153088316,0.8002157497303127,0.002383033660666091,0.5819287426585161,0.0010731394012913913,0.683598084475709,0.0019877747629645404,0.6479919207222559,3.327624807599242e-05,0.8282632146709816,0.0008072615721195031,0.5890142543832827,0.000490432725080817
deduplicated_cosine_lt_099,Inductive LightGCN,1545,3,0.652699246618758,0.00037255690645776563,0.6430009777400204,0.0004835184012899402,0.8146709816612728,0.001100112084917524,0.590886012225818,0.0006547699883455398,0.706589342654786,0.0039259009660306795,0.6608511248738228,0.001183178701118832,0.8485436893203883,0.0019054500250976789,0.5988052002534202,0.000838805383539179
deduplicated_cosine_lt_099,Graph-only,1545,3,0.39335319017776965,0.0,0.36026463756726157,0.0003710718976091146,0.5423948220064725,0.0,0.31163448399856164,0.0004235266671763249,0.48348099104757364,0.004265827121156898,0.3907262596292774,0.0012409760850437574,0.6446601941747573,0.002642383757047626,0.32334906318194706,0.0004812822946164858
deduplicated_cosine_lt_099,Graph+BGE,1545,3,0.5742437485621411,0.008751001057603484,0.535334026262432,0.030337930800739925,0.7406688241639698,0.008721200833401395,0.47615701785928327,0.03603854717897764,0.644986067996575,0.004236142605948479,0.5601895564401166,0.027213403045381473,0.7978425026968717,0.0027119320582473707,0.487576393424444,0.0344701661630331
deduplicated_no_api_mention,Popularity,893,1,0.42165660843778224,0.0,0.4266421674321282,0.0,0.5520716685330347,0.0,0.3938767574965783,0.0,0.5174916420338329,0.0,0.45805961268356066,0.0,0.6562150055991042,0.0,0.40540178262835974,0.0
deduplicated_no_api_mention,TF-IDF,893,1,0.1706010477237669,0.0,0.13684401150899148,0.0,0.2206047032474804,0.0,0.1148482020654473,0.0,0.22402348272020886,0.0,0.1557930922424723,0.0,0.2945128779395297,0.0,0.12232904216806792,0.0
deduplicated_no_api_mention,BM25,893,1,0.18959582674094233,0.0,0.1554243873323921,0.0,0.251959686450168,0.0,0.13146789846957818,0.0,0.2504597295421352,0.0,0.17570025982369325,0.0,0.3314669652855543,0.0,0.13902580772261625,0.0
deduplicated_no_api_mention,Category-Jaccard,893,1,0.09406860915325443,0.0,0.0742759622623369,0.0,0.135498320268757,0.0,0.06065229563269876,0.0,0.12363776044198942,0.0,0.08450442015164336,0.0,0.18477043673012317,0.0,0.0640529219028659,0.0
deduplicated_no_api_mention,BGE,893,1,0.14662727870026468,0.0,0.12097256569599953,0.0,0.19708846584546472,0.0,0.10174692049272116,0.0,0.18796309853552462,0.0,0.13583193320580794,0.0,0.2564389697648376,0.0,0.10759548842555561,0.0
