subset,method_a,method_b,group,metric,num_mashups,mean_a,mean_b,mean_difference,relative_improvement_percent,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,p_raw,rank_biserial,method_a_win_rate,tie_rate,p_holm_subset_global,p_holm_comparison,significance_global,ci_excludes_zero
full,SCF-LightGCN+BGE,Graph+BGE,Unseen,Recall@5,144,0.24224537037037036,0.0,0.24224537037037036,24224537037037.035,0.17546296296296296,0.31342592592592594,0.0,4.14582536497604e-09,1.0,0.2569444444444444,0.7430555555555556,8.706233266449683e-08,2.487495218985624e-08,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Unseen,NDCG@5,144,0.15225477317288638,0.0,0.15225477317288638,15225477317288.639,0.10685536099684614,0.19979342205462158,0.0,1.1103930025090097e-07,1.0,0.2569444444444444,0.7430555555555556,1.772211422893446e-06,2.2152642786168075e-07,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Unseen,MAP@5,144,0.12080632716049383,0.0,0.12080632716049383,12080632716049.383,0.08271604938271605,0.16290518904320989,0.0,1.1076321393084037e-07,1.0,0.2569444444444444,0.7430555555555556,1.772211422893446e-06,2.2152642786168075e-07,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Unseen,Recall@10,144,0.3462962962962963,0.0,0.3462962962962963,34629629629629.633,0.27222222222222225,0.4222222222222223,0.0,3.641176890352229e-12,1.0,0.3680555555555556,0.6319444444444444,1.1287648360091909e-10,4.369412268422675e-11,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Unseen,NDCG@10,144,0.18808165046500122,0.0,0.18808165046500122,18808165046500.12,0.143460122684211,0.23538779953894648,0.0,2.3530859990444224e-10,1.0,0.3680555555555556,0.6319444444444444,6.3443775635446235e-09,2.34976946797949e-09,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Unseen,MAP@10,144,0.13595137051734274,0.0,0.13595137051734274,13595137051734.273,0.09774902401161083,0.17847258965314522,0.0,2.34976946797949e-10,1.0,0.3680555555555556,0.6319444444444444,6.3443775635446235e-09,2.34976946797949e-09,***,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Head,Recall@5,808,0.7124130224377748,0.7192327417265535,-0.006819719288778694,-0.9481936643217358,-0.020151419760794757,0.006923520104986682,6495.5,0.09301547646953842,-0.14673234811165844,0.07797029702970297,0.7846534653465347,0.09301547646953842,0.09301547646953842,ns,False
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Head,NDCG@5,808,0.6900976356530689,0.7004370511707189,-0.010339415517649737,-1.4761377200661092,-0.020242200107164283,-0.00014472525230367937,14496.5,0.0023316431968112635,-0.21334382461471674,0.13613861386138615,0.6646039603960396,0.03465334401640224,0.02391871617847976,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Head,MAP@5,808,0.642304959662633,0.6530764118078476,-0.010771452145214518,-1.649340253370499,-0.020834616795012837,-0.0009109770352035252,14434.5,0.002663720456963215,-0.2109061090610906,0.13366336633663367,0.6658415841584159,0.03465334401640224,0.02391871617847976,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Head,Recall@10,808,0.7641802132365252,0.7747894186167701,-0.010609205380244985,-1.369301790309111,-0.024066250002976484,0.0030939014231093336,6581.0,0.0189721281728459,-0.2008985489648473,0.08292079207920793,0.775990099009901,0.04547569166033837,0.0379442563456918,*,False
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Head,NDCG@10,808,0.707341900696326,0.7184001964575372,-0.011058295761211118,-1.5392946460399173,-0.020307926318052224,-0.0016026791047896792,18913.5,0.0013615144887463627,-0.21020983401190102,0.16212871287128713,0.6175742574257426,0.02586877528618089,0.017958298713249193,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Head,MAP@10,808,0.6498017237889226,0.6605875509544057,-0.01078582716548299,-1.6327627049434716,-0.020411832963784612,-0.0012006528820694361,18926.5,0.0018632718603532907,-0.20453494725339386,0.16212871287128713,0.6188118811881188,0.03353889348635923,0.022359262324239487,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Middle,Recall@5,107,0.2015576323987539,0.09553478712357216,0.10602284527518173,110.97826086956523,0.04984423676012461,0.16936656282450677,27.5,0.0011493990565828681,0.782608695652174,0.16822429906542055,0.794392523364486,0.02413738018824023,0.01724098584874302,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Middle,NDCG@5,107,0.12475585311478261,0.06294260131214215,0.06181325180264048,98.20574700447945,0.02971554516615679,0.09760711678509155,47.0,0.0006447811811636791,0.7513227513227513,0.19626168224299065,0.7476635514018691,0.015474748347928297,0.011606061260946224,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Middle,MAP@5,107,0.09565074420214606,0.050951886465905157,0.04469885773624091,87.72758152173913,0.018414416753201795,0.07381035825545168,55.0,0.0012827356223749423,0.708994708994709,0.19626168224299065,0.7476635514018691,0.025654712447498847,0.017958298713249193,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Middle,Recall@10,107,0.2751817237798546,0.16900311526479753,0.10617860851505712,62.826420890937015,0.04127725856697819,0.17472092419522317,77.0,0.0022426385088084727,0.6459770114942529,0.19626168224299065,0.7289719626168224,0.03465334401640224,0.02391871617847976,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Middle,NDCG@10,107,0.14978260732635,0.0879791405634802,0.06180346676286975,70.24786371750956,0.02968692248389676,0.09623231048471341,140.5,0.0004979500167423025,0.6397435897435897,0.2523364485981308,0.6355140186915887,0.014287398688558602,0.009980012664514346,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Middle,MAP@10,107,0.10580007911783612,0.06110616624635316,0.04469391287148296,73.14141209791623,0.01933649392605779,0.07287125632530617,151.5,0.0008734995031086202,0.6115384615384616,0.2616822429906542,0.6355140186915887,0.019216989068389645,0.013975992049737923,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Tail,Recall@5,53,0.1792452830188679,0.03773584905660377,0.14150943396226415,375.0,0.06289308176100629,0.23270440251572325,0.0,0.004455352355471741,1.0,0.18867924528301888,0.8113207547169812,0.03465334401640224,0.02391871617847976,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Tail,NDCG@5,53,0.12474929425008936,0.025306408894879433,0.09944288535520991,392.95534095053466,0.045168616913186785,0.16039155013820525,0.0,0.0021744287434981597,1.0,0.22641509433962265,0.7735849056603774,0.03465334401640224,0.02391871617847976,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Tail,MAP@5,53,0.10251572327044026,0.020964360587002098,0.08155136268343816,388.99999999999994,0.03532494758909853,0.13595387840670858,0.0,0.0021744287434981597,1.0,0.22641509433962265,0.7735849056603774,0.03465334401640224,0.02391871617847976,*,True
strict_clean,SCF-LightGCN+BGE,Inductive LightGCN,Tail,Recall@10,53,0.29245283018867924,0.05974842767295598,0.23270440251572327,389.4736842105263,0.1289308176100629,0.3427672955974843,0.0,0.0006772921726461462,1.0,0.2641509433962264,0.7358490566037735,0.015577719970861362,0.011606061260946224,*,True
