method,mashup_id,group,positive_count,Recall@5,NDCG@5,MAP@5,Recall@10,NDCG@10,MAP@10
Graph+BGE,585,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,587,Head,3,0.7777777777777777,0.7495991935270968,0.6018518518518517,1.0,0.8437771754336495,0.6759259259259259
Graph+BGE,589,Head,1,1.0,0.6725941869353331,0.5666666666666667,1.0,0.6725941869353331,0.5666666666666667
Graph+BGE,592,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,598,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,601,Head,6,0.5,0.722726572644952,0.6,0.6666666666666666,0.747999185379506,0.6005291005291005
Graph+BGE,602,Head,2,0.16666666666666666,0.07906590425643208,0.03333333333333333,0.3333333333333333,0.15186838319582013,0.061111111111111116
Graph+BGE,605,Head,13,0.2820512820512821,0.7925117434660276,0.6811111111111111,0.3076923076923077,0.5387405348561841,0.35960317460317465
Graph+BGE,605,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,607,Head,12,0.1111111111111111,0.32636853023212736,0.1822222222222222,0.3055555555555555,0.3761533384108673,0.1805820105820106
Graph+BGE,607,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,613,Head,2,0.8333333333333334,0.6922130970218904,0.5888888888888889,1.0,0.7603405628847191,0.6365079365079365
Graph+BGE,613,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,623,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,624,Head,11,0.24242424242424243,0.4681535922249845,0.3422222222222222,0.3636363636363636,0.3996155269228894,0.2435978835978836
Graph+BGE,624,Middle,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,624,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,624,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,626,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,629,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,629,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,630,Head,3,0.5555555555555555,0.635341811844894,0.5,0.5555555555555555,0.635341811844894,0.5
Graph+BGE,632,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,650,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,656,Head,2,0.5,0.5109559939712153,0.3888888888888889,0.5,0.5109559939712153,0.3888888888888889
Graph+BGE,659,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
Graph+BGE,659,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,666,Head,2,0.3333333333333333,0.40876479517697223,0.3333333333333333,0.3333333333333333,0.40876479517697223,0.3333333333333333
Graph+BGE,675,Head,1,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778
Graph+BGE,678,Head,2,1.0,0.9091867402909347,0.8166666666666668,1.0,0.9091867402909347,0.8166666666666668
Graph+BGE,678,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,679,Head,1,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778
Graph+BGE,692,Head,9,0.3333333333333333,0.6081295867966463,0.43999999999999995,0.5925925925925926,0.6007217850897786,0.40890652557319224
Graph+BGE,692,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,693,Head,2,0.3333333333333333,0.3333333333333333,0.25,0.5,0.39241309559468257,0.26666666666666666
Graph+BGE,697,Head,1,0.6666666666666666,0.37697658452381916,0.27777777777777773,0.6666666666666666,0.37697658452381916,0.27777777777777773
Graph+BGE,698,Head,5,0.4000000000000001,0.5531464700081437,0.4000000000000001,0.4000000000000001,0.5531464700081437,0.4000000000000001
